悪化,増悪,退転,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恥,恥辱,汚名,不名誉,汚辱,汚点,不評,恥晒し,名折れ,面汚,恥曝し,不評判,不面目,面汚し,顔汚,恥さらし,会稽,,,,,,,,,,,,,,,,,,,,,,,,,,,
ばれる,暴く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反抗,抵抗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反則,違反,犯罪,侵害,違背,悪業,違犯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
引き起こす,もたらす,生ずる,来たす,齎す,産む,齎らす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悲惨,ミゼラブル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不快,不愉快,不祥,厭やらしい,うっとうしげ,嫌らしげ,気うとい,鬱陶しげ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不潔,卑猥,淫猥,猥褻,卑わい,鄙猥,猥ら,婬猥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不公平,不平等,差別的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不注意,油断,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不満,不満足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平気,沈着,平静,泰然たる,悠悠たる,自若たる,平然たる,悠揚たる,従容たる,淡然たる,深沈たる,悠々たる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乱暴,バイオレンス,暴力,ヴァイオレンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
醜い,みにくい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
見逃す,見過ごす,見落とす,見すごす,見逃がす,見外す,見逸れる,見遁す,見落す,見過す,見のがす,読過す,読み過ごす,読みすごす,見流す,見おとす,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黙殺,無視,スルー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無神経,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レッテル,ラベル,付箋,荷札,レーベル,表示,下げ札,付札,付票,付け札,附箋,附票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
わざと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
起因,引き金,原因,きっかけ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
病気,疾病,疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不穏,危険,物騒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亡くなる,死ぬ,しぬ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厳しい,きびしー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
裁判,判決,裁決,刑罰,裁き,審判,審査,判断,批判,ジャッジメント,判定,鑑識,知恵,聡明,明敏,物心,智慧,捌き,分別,智恵,聰明,,,,,,,,,,,,,,,,,,,,,,,
重い,おもい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
避ける,逃れる,ずるっこける,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
痛い,いたい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
トラブル,問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苦しい,くるしー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陥る,入る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
詰まる,縮まる,縮める,縮む,狭める,切り詰める,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自害,自決,自殺,自死,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恐ろしい,おそろしー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
倒れる,ぶっ倒れる,倒れこむ,頽れる,仆れる,殪れる,仆れこむ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
覚悟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苦しみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
リストラ,レイオフ,解雇,お払い箱,リストラクチャリング,首切り,首斬り,肩たたき,肩叩き,リストラクチュアリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
傷つける,傷付ける,害する,損う,疵つける,毒する,疵付ける,損じる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晒す,曝す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
繰り返し,幾重にも,打ち返し,しきりと,頻りと,打返し,いくえにも,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遭う,聴入れる,聴き入れる,聞入れる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
招く,引き起す,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加害,毀損,損害,損壊,損傷,破損,打撃,荼毒,き損,毀傷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果て,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不当,不正,不明朗,失当,偏頗,アンフェア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
免れる,逃げ出す,逃げる,抜け出す,逃げだす,抜け出る,抜ける,抜出す,脱出す,脱けだす,抜出る,逃出す,逃がれる,遁げる,脱ける,脱け出る,逃奔,逃げ失せる,逃げ去る,脱け出す,ずらかる,抜けでる,遁げ出す,脱出る,逃げ走る,,,,,,,,,,,,,,,,,,,
死刑,処刑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不利益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚い,きたない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
追い込む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
警告,ウォーニング,ウオーニング,ワーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不倫,浮気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苦痛,激痛,倒懸,苦しさ,苦辛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嫌がる,嫌う,厭う,忌み嫌う,厭がる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
